"Filing Date","Document Type","Filed By","Description"
"November 19, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320316858""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company","Reply comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (filing is considered timely because e-file system has been down and was up running on 11/19/2019)."
"November 14, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320382381""><span style=""color:blue""><u>EXPARTE</u></span></a>","Cal Advocates/TRIMMING/CPUC","Notice of Ex Parte Communications. The Public Advocates Office had ex parte meetings with Maria Sotero, advisor to Commissioner Guzman Aceves on November 12, 2019 from 1:00 pm to approximately 1:30 pm with Leuwam Tesfai, advisor to Commissioner Shiroma on November 12, 2019 from 1:30 pm to approximately 2:00 pm and with Sandy Goldberg, advisor to Commissioner Rechtschaffen on November 14, 2019 from 9:30 am to approximately 10:00 am. "
"November 13, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319898325""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/KAO/CPUC","E-mail Ruling Directing Southern California Gas Company to Confirm Balancing Account Information [Southern California Gas Company’s response to this email ruling is due on November 20, 2019] "
"November 13, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320909819""><span style=""color:blue""><u>COMMENTS</u></span></a>","County of Ventura","Comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation (late-filed authorized by ALJ Fitch per e-mail of 12/4/2019)."
"November 13, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320713408""><span style=""color:blue""><u>NOTICE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Three-Day Advance Notice of Ex Parte Communications"
"November 13, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320714637""><span style=""color:blue""><u>NOTICE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Three-Day Advance Notice of Ex Parte Communications"
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319818974""><span style=""color:blue""><u>COMMENTS</u></span></a>","The Utility Reform Network","Comments on the Proposed Decision of ALJ Fitch regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319530430""><span style=""color:blue""><u>COMMENTS</u></span></a>","Pacific Gas and Electric Company","Comments on Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319898320""><span style=""color:blue""><u>COMMENTS</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319526492""><span style=""color:blue""><u>COMMENTS</u></span></a>","Small Business Utility Advocates","Opening comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319898302""><span style=""color:blue""><u>COMMENTS</u></span></a>","Local Government Sustainable Energy Coalition","Comments on Administrative Law Judge’s Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319457718""><span style=""color:blue""><u>COMMENTS</u></span></a>","Western Riverside Council of Governments","Opening comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319526479""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Efficiency + Demand Management Council","Opening comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319760318""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Regional Energy Network","Opening comments on Administrative Law Judge’s Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319526473""><span style=""color:blue""><u>COMMENTS</u></span></a>","Natural Resources Defense Council","Opening comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319530400""><span style=""color:blue""><u>COMMENTS</u></span></a>","Association of Bay Area Governments","Opening comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319837293""><span style=""color:blue""><u>COMMENTS</u></span></a>","Center for Sustainable Energy","Comments on the Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319530398""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company,San Diego Gas & Electric Company","Opening comments on Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319408468""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Comments on Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 12, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319530394""><span style=""color:blue""><u>COMMENTS</u></span></a>","Rising Sun Center for Opportunity","Comments on Proposed Decision of ALJ Fitch regarding frameworks for energy efficiency regional energy networks and market transformation."
"November 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319457647""><span style=""color:blue""><u>NOTICE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Three-Day Advance Notice of Ex Parte Communication"
"November 05, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319132076""><span style=""color:blue""><u>NOTICE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Three-Day Advance Notice of Ex Parte Communication"
"November 04, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319128748""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/KAO/CPUC","E-mail Ruling Granting Motion for Party Status of Enovity, Inc."
"October 29, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319292571""><span style=""color:blue""><u>NOTICE</u></span></a>","Cal Advocates/TRIMMING/CPUC","Three-Day Advance Notice of Ex Parte Communication"
"October 28, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318595595""><span style=""color:blue""><u>MOTION</u></span></a>","Enovity, Inc.","Motion for Party Status of Enovity, Inc."
"October 25, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318612535""><span style=""color:blue""><u>TRANSCRIPT</u></span></a>","CALIFORNIA PUBLIC UTILITIES COMMISSION","10/22/2019 - Prehearing Conference, Volume 4 - Pages 253-273"
"October 24, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318909675""><span style=""color:blue""><u>DECISION</u></span></a>","-","Decision D1910057 - Order Extending Statutory Deadline. This decision extends the statutory deadline in this proceeding to May 1, 2020."
"October 23, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318169035""><span style=""color:blue""><u>PROPOSED DECISION</u></span></a>","ALJ/FITCH/CPUC","Proposed Decision regarding frameworks for energy efficiency regional energy networks and market transformation. Opening comments, which shall not exceed 15 pages, are due no later than November 12, 2019. Reply comments, which shall not exceed 5 pages, are due 5 days after the last day for filing opening comments."
"October 22, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168605""><span style=""color:blue""><u>REQUEST</u></span></a>","Natural Resources Defense Council, Inc.","for intervenor compensation for contribution to D19-08-034"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317319236""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/KAO/CPUC","E-mail Ruling Granting Motion for Party Status of Facility Energy Solutions LLC"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318595541""><span style=""color:blue""><u>COMMENTS</u></span></a>","Home Energy Analytics","REPLY COMMENTS TO DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION AND INVITING COMMENTS ON POPULATION-LEVEL RULES, MEASUREMENT METHODS AND CALCULATION SOFTWARE"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168714""><span style=""color:blue""><u>COMMENTS</u></span></a>","Bidgely, Inc.","REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING ISSUING DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317703485""><span style=""color:blue""><u>COMMENTS</u></span></a>","Recurve Analytics, Inc.","REPLY COMMENTS TO DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318007769""><span style=""color:blue""><u>COMMENTS</u></span></a>","Oracle Utilities","REPLY COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING ISSUING DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION AND INVITING COMMENTS ON POPULATION-LEVEL RULES, MEASUREMENT METHODS AND CALCULATION SOFTWARE"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317997738""><span style=""color:blue""><u>COMMENTS</u></span></a>","California Efficiency + Demand Management Council","REPLY COMMENTS ON ADMINSTRATIVE LAW JUDGE’S RULING ISSUING DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION (NMEC) AND INVITING COMMENTS ON POPULATION-LEVEL RULES, MEASUREMENT METHODS"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317667984""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Reply comments on Administrative Law Judge’s Ruling issuing draft revised rulebook for normalized metered energy consumption and inviting comments on population-level rules, measurement methods and calculation software."
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317997732""><span style=""color:blue""><u>COMMENTS</u></span></a>","Gridium Inc.","REPLY COMMENTS TO DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION"
"October 07, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318007765""><span style=""color:blue""><u>COMMENTS</u></span></a>","Power TakeOff","REPLY COMMENTS"
"October 04, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317095069""><span style=""color:blue""><u>REQUEST</u></span></a>","Natural Resources Defense Council","for intervenor compensation for contribution to D19-08-009"
"October 04, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320713413""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC / Commissioner Randolph's Office / Chief of Staff Peterson","[Decisionmaker] Notice of Ex Parte Communication. Commissioner Randolph’s Chief of Staff Rachel Peterson had an ex parte communication with the Public Advocates Office on October 3, 2019 at approximately 12:30 pm"
"October 03, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=316460552""><span style=""color:blue""><u>RULING</u></span></a>","ALJ/KAO/CPUC","Administrative Law Judge’s Ruling granting the motion of the Public Advocate’s Office of the Public Utilities Commission and directing Southern California Gas Company to show cause why it should not be sanctioned by the Commission for violation of California Public Utilities Code Sections 702, 2107 or 2108 or Rule 1.1 of the Commission’s Rules of Practice and Procedure."
"October 03, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320714648""><span style=""color:blue""><u>EXPARTE</u></span></a>","CPUC / Commissioner Randolph's Office / Chief of Staff Peterson","[Decisionmaker] Notice of Ex Parte Communication. Commissioner Randolph’s Chief of Staff Rachel Peterson had an ex parte communication via teleconference with The Association of Bay area Governments and Bay Area Regional Network (BayREN) on October 3, 2019 at approximately 11:00 am. "
"October 03, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=319408413""><span style=""color:blue""><u>EXPARTE</u></span></a>","Association of Bay Area Governments","ABAG on behalf of BayREN noticed an oral ex parte communication with Rachel Peterson, Chief of Staff and Advisor to Commissioner Randolph on October 3, 2019."
"October 03, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168652""><span style=""color:blue""><u>EXPARTE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","The Cal Advocates noticed an oral ex parte communication with Rachel Peterson, Chief of Staff for Commissioner Randolph on October 3, 2019 at the Commission offices in San Francisco, California."
"October 02, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=316990477""><span style=""color:blue""><u>MOTION</u></span></a>","Facility Energy Solutions LLC","Motion for Party Status of Facility Energy Solutions LLC"
"October 02, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=320714645""><span style=""color:blue""><u>EXPARTE</u></span></a>","Pacific Gas and Electric Company","Notice of Ex Parte Communication. Pacific Gas and Electric Company and Staples and Associates had a ride-along meeting with Mary Claire Brown and Justin, Regnier, advisors to Commissioner Genevieve Shiroma on September 27, 2019 at approximately 8:15 am."
"October 01, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168030""><span style=""color:blue""><u>COMMENTS</u></span></a>","Facility Energy Solutions LLC","Comments in response to “ADMINISTRATIVE LAW JUDGE’S RULING ISSUING DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION AND INVITING COMMENTS ON POPULATION-LEVEL RULES, MEASUREMENT METHODS AND CALCULATION SOFTWARE."""
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317700482""><span style=""color:blue""><u>COMMENTS</u></span></a>","Power TakeOff","Opening comments on ALJ Kao’s 8/29/2019 Ruling."
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318605376""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Regional Energy Network","COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING ON DRAFT REVISED NORMALIZED METERED ENERGY  CONSUMPTION RULEBOOK"
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168718""><span style=""color:blue""><u>COMMENTS</u></span></a>","Bidgely, Inc.","COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULINGISSUING DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION"
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168327""><span style=""color:blue""><u>NOTICE</u></span></a>","Association of Bay Area Governments","Three-Day Advance Notice of Ex Parte Communication"
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168648""><span style=""color:blue""><u>NOTICE</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","Three-Day Advance Notice of Ex Parte Communication"
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318168855""><span style=""color:blue""><u>COMMENTS</u></span></a>","Home Energy Analytics","Comments on the Administrative Law Judge’s Ruling issuing draft revised rulebook for normalized metered energy consumption and inviting comments on population-level rules, measurement methods and calculation software."
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318081650""><span style=""color:blue""><u>COMMENTS</u></span></a>","kW Engineering, Inc.","COMMENTS TO DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION"
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=318007761""><span style=""color:blue""><u>COMMENTS</u></span></a>","CAL ADVOCATES/TRIMMING/CPUC","COMMENTS ON THE ADMINISTRATIVE LAW JUDGE’S RULING ISSUING DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION"
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317667972""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Gas Company","Comments on Administrative Law Judge’s Ruling issuing draft revised rulebook for normalized metered energy consumption and inviting comments on population-level rules, measurement methods and calculation software."
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317700492""><span style=""color:blue""><u>COMMENTS</u></span></a>","Southern California Edison Company","Comments on Administrative Law Judge’s Ruling issuing draft revised rulebook for normalized metered energy consumption and inviting comments on population-level rules, measurement methods and calculation software."
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317997723""><span style=""color:blue""><u>COMMENTS</u></span></a>","Rising Sun Center for Opportunity","OPENING COMMENTS ON ADMINISTRATIVE LAW JUDGE’S RULING ISSUING DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION AND INVITING COMMENTS ON POPULATION-LEVEL RULES, MEASUREMENT METHODS AND CALCULATION SOFTWARE"
"September 30, 2019","<a href=""http://docs.cpuc.ca.gov/SearchRes.aspx?DocFormat=ALL&DocID=317700491""><span style=""color:blue""><u>COMMENTS</u></span></a>","Recurve Analytics, Inc.","COMMENTS ON DRAFT REVISED RULEBOOK FOR NORMALIZED METERED ENERGY CONSUMPTION"
